id,cod,disciplina,ch,id_area
1,CET154,química geral e orgânica,90.0,35
2,CET558,calculo aplicado a biomedicina,60.0,34
3,CET559,física aplicada a biomedicina,60.0,33
4,CIB520,bioestatistica,60.0,32
5,CIB517,bioinformática,60.0,26
6,CET791,química geral,45.0,35
7,CET792,física,75.0,33
8,CET793,matemática,30.0,34
9,CET794,química orgânica,45.0,35
10,CET006,análise química,60.0,35
11,CET795,desenho técnico,60.0,27
12,CET796,cálculo,75.0,34
13,CET797,elementos de estatística,60.0,32
14,CET076,metodologia e estatística experimental,75.0,32
15,CET423,fundamentos matemáticos,60.0,34
16,CET552,introdução a ciência dos computadores,60.0,26
17,CET398,matemática aplicada e financeira,60.0,34
18,CET392,estatistica i,60.0,32
19,CET399,estatistica ii,60.0,32
20,CET1295,estatística apllicada i,60.0,32
21,CET1296,estatística apllicada ii,60.0,32
22,CET1293,matemática aplicada i,60.0,34
23,CET1294,matemática aplicada ii,60.0,34
24,CET631,fundamentos de estatistica  - (curriculo atual),45.0,32
25,CET701,quimica aplicada a analise ambiental - (curriculo atual),60.0,35
26,CET702,fundamentos de estatistica - (curriculo novo  a partir de 2022),60.0,32
27,CET699,estatística aplicada às ciências sociais i,60.0,32
28,CET700,estatística aplicada às ciências sociais ii,60.0,32
29,CET1200,intrudução à estatistica,60.0,32
30,CET561,cálculo,60.0,34
31,CET647,física para biologia,60.0,33
32,CET650,química aplicada à biologia,90.0,35
33,CET020,bioestatística,60.0,32
34,CET042,ciência dos materiais,60.0,29
35,CET045,termodinâmica,60.0,29
36,CET050,materiais metálicos,45.0,29
37,CET051,materiais cerâmicos,45.0,29
38,CET057,engenharia de saneamento ambiental,45.0,31
39,CET1010,"petróleo, gás e biocombustíveis",45.0,31
40,CET1018,estágio obrigatório,180.0,29
41,CET1043,complementação de poços de petróleo,45.0,31
42,CET1044,motores de combustão,45.0,29
43,CET1045,materiais conjugados,45.0,29
44,CET1046,mecânica de precisão,45.0,29
45,CET1047,princípios de tribologia,45.0,29
46,CET1048,elementos de robótica,45.0,29
