id_aula,id_docente
1,25
1,18
1,17
2,16
2,21
2,7
3,20
3,6
4,16
5,27
6,9
6,14
7,21
7,7
8,25
8,4
9,12
10,7
10,15
11,5
12,10
13,22
14,8
14,3
14,23
15,16
15,18
15,12
16,3
17,11
17,3
17,13
18,8
18,18
18,21
19,19
19,21
20,8
20,16
20,18
21,24
21,12
21,15
22,25
22,20
23,16
23,11
23,4
24,10
24,27
24,12
25,25
25,10
26,24
26,19
27,10
28,20
29,24
29,9
29,14
30,16
30,15
31,3
31,4
31,6
32,8
32,12
32,7
33,10
34,12
34,22
35,26
35,18
36,26
36,14
37,21
37,22
37,14
38,25
38,18
38,3
39,19
39,11
39,21
40,17
40,26
41,6
42,26
43,20
43,4
43,13
44,24
44,17
44,18
45,20
46,24
47,19
47,20
48,12
48,5
48,22
49,15
50,26
50,22
51,24
52,16
53,24
53,11
53,15
54,13
55,10
55,26
56,27
57,27
57,7
58,5
59,16
59,27
60,11
61,23
62,11
62,15
63,8
64,16
64,14
65,25
65,22
66,24
66,10
66,6
67,10
67,23
68,21
69,10
69,6
69,22
70,8
70,13
70,6
71,4
71,7
72,26
72,21
73,4
73,5
73,6
74,17
74,12
75,20
75,14
75,7
76,24
76,6
77,4
77,7
78,13
78,23
79,3
79,22
80,19
81,17
81,18
81,12
82,6
83,8
83,25
83,20
84,3
85,16
85,8
86,26
86,4
86,14
87,13
87,6
88,3
88,22
88,14
89,19
90,12
90,13
90,15
91,20
92,26
93,21
94,25
94,27
95,11
95,5
95,15
96,9
96,18
96,15
97,17
97,5
98,12
99,16
99,13
100,22
101,10
101,6
101,23
102,23
103,17
104,20
104,14
105,9
106,7
107,10
107,4
107,14
108,15
109,20
110,9
110,14
110,7
111,8
111,21
111,6
112,14
112,7
113,21
113,6
113,7
114,25
115,13
116,16
117,26
118,4
118,22
119,13
119,22
119,23
120,12
121,17
122,16
123,17
123,11
124,25
124,7
125,5
125,23
126,16
127,24
128,11
129,16
129,12
129,23
130,24
130,7
131,17
131,25
132,16
132,14
132,23
133,20
133,14
133,15
134,4
134,22
135,24
135,23
136,3
136,13
136,15
137,18
137,14
138,15
138,6
138,7
139,5
140,24
140,26
140,10
141,17
141,19
141,5
142,12
142,20
143,20
144,16
144,18
144,11
145,3
145,20
146,3
147,17
147,3
148,14
149,5
149,14
150,6
151,19
151,13
152,24
152,11
152,15
153,19
153,20
153,14
154,24
154,25
155,3
155,5
155,14
156,11
156,5
157,8
157,6
158,27
158,7
159,3
159,9
159,19
160,11
161,21
162,9
163,11
163,13
164,25
164,20
164,21
165,15
166,26
166,10
166,21
167,20
168,26
169,9
169,20
169,21
170,8
170,13
170,6
171,26
172,26
173,24
173,12
174,9
174,10
175,26
175,21
176,11
176,15
177,15
178,11
179,11
180,10
180,19
181,17
181,23
182,26
182,21
183,18
183,26
184,10
185,22
186,22
187,19
187,15
188,24
188,5
189,12
189,5
190,25
190,6
191,8
191,4
192,23
193,26
193,4
193,15
194,8
195,26
196,6
197,5
198,11
198,14
199,8
199,11
199,21
200,9
200,21
201,9
201,26
202,10
202,27
203,18
203,19
203,12
204,17
204,20
205,10
205,3
206,10
206,27
207,10
208,10
208,20
209,5
210,16
210,11
210,27
211,19
212,10
212,5
212,7
213,21
214,26
215,9
215,19
216,17
216,18
216,19
217,8
218,25
219,9
219,7
220,26
220,23
221,8
221,26
221,12
222,19
223,5
224,26
224,20
224,13
225,19
225,12
225,13
226,14
227,5
228,16
228,10
228,21
229,22
229,15
230,27
230,11
230,5
231,4
232,26
233,18
234,8
234,21
235,26
235,14
235,23
236,8
236,19
236,14
237,11
238,8
238,26
