id,turma,id_disciplina,id_semestre,id_curso,id_tipo_aula
1,T1,421,4,4,1
2,T1,421,4,4,2
3,T2,421,4,4,1
4,T2,421,4,4,2
5,T1,421,5,4,1
6,T1,421,5,4,2
7,T2,421,5,4,1
8,T2,421,5,4,2
9,T1,421,6,4,1
10,T1,421,6,4,2
11,T2,421,6,4,1
12,T2,421,6,4,2
13,T1,421,7,4,1
14,T1,421,7,4,2
15,T2,421,7,4,1
16,T2,421,7,4,2
17,T1,421,8,4,1
18,T1,421,8,4,2
19,T2,421,8,4,1
20,T2,421,8,4,2
21,T1,428,4,4,1
22,T1,428,4,4,2
23,T2,428,4,4,1
24,T2,428,4,4,2
25,T1,428,5,4,1
26,T1,428,5,4,2
27,T2,428,5,4,1
28,T2,428,5,4,2
29,T1,428,6,4,1
30,T1,428,6,4,2
31,T2,428,6,4,1
32,T2,428,6,4,2
33,T1,428,7,4,1
34,T1,428,7,4,2
35,T2,428,7,4,1
36,T2,428,7,4,2
37,T1,428,8,4,1
38,T1,428,8,4,2
39,T2,428,8,4,1
40,T2,428,8,4,2
41,T1,524,4,4,1
42,T1,524,4,4,2
43,T1,524,5,4,1
44,T1,524,5,4,2
45,T1,524,6,4,1
46,T1,524,6,4,2
47,T1,524,7,4,1
48,T1,524,7,4,2
49,T1,524,8,4,1
50,T1,524,8,4,2
51,T1,525,4,4,1
52,T1,525,4,4,2
53,T2,525,4,4,1
54,T2,525,4,4,2
55,T1,525,5,4,1
56,T1,525,5,4,2
57,T2,525,5,4,1
58,T2,525,5,4,2
59,T1,525,6,4,1
60,T1,525,6,4,2
61,T2,525,6,4,1
62,T2,525,6,4,2
63,T1,525,7,4,1
64,T1,525,7,4,2
65,T2,525,7,4,1
66,T2,525,7,4,2
67,T1,525,8,4,1
68,T1,525,8,4,2
69,T2,525,8,4,1
70,T2,525,8,4,2
71,T1,526,4,4,1
72,T1,526,4,4,2
73,T1,526,5,4,1
74,T1,526,5,4,2
75,T1,526,6,4,1
76,T1,526,6,4,2
77,T1,526,7,4,1
78,T1,526,7,4,2
79,T1,526,8,4,1
80,T1,526,8,4,2
81,T1,527,4,4,1
82,T1,527,4,4,2
83,T1,527,5,4,1
84,T1,527,5,4,2
85,T1,527,6,4,1
86,T1,527,6,4,2
87,T1,527,7,4,1
88,T1,527,7,4,2
89,T1,527,8,4,1
90,T1,527,8,4,2
91,T1,529,4,4,1
92,T1,529,4,4,2
93,T1,529,5,4,1
94,T1,529,5,4,2
95,T1,529,6,4,1
96,T1,529,6,4,2
97,T1,529,7,4,1
98,T1,529,7,4,2
99,T1,529,8,4,1
100,T1,529,8,4,2
101,T1,530,4,4,1
102,T1,530,4,4,2
103,T1,530,5,4,1
104,T1,530,5,4,2
105,T1,530,6,4,1
106,T1,530,6,4,2
107,T1,530,7,4,1
108,T1,530,7,4,2
109,T1,530,8,4,1
110,T1,530,8,4,2
111,T1,532,4,4,1
112,T1,532,4,4,2
113,T1,532,5,4,1
114,T1,532,5,4,2
115,T1,532,6,4,1
116,T1,532,6,4,2
117,T1,532,7,4,1
118,T1,532,7,4,2
119,T1,532,8,4,1
120,T1,532,8,4,2
121,T1,533,4,4,1
122,T1,533,4,4,2
123,T1,533,5,4,1
124,T1,533,5,4,2
125,T1,533,6,4,1
126,T1,533,6,4,2
127,T1,533,7,4,1
128,T1,533,7,4,2
129,T1,533,8,4,1
130,T1,533,8,4,2
131,T1,535,4,4,1
132,T1,535,4,4,2
133,T1,535,5,4,1
134,T1,535,5,4,2
135,T1,535,6,4,1
136,T1,535,6,4,2
137,T1,535,7,4,1
138,T1,535,7,4,2
139,T1,535,8,4,1
140,T1,535,8,4,2
141,T1,537,4,4,1
142,T1,537,4,4,2
143,T1,537,5,4,1
144,T1,537,5,4,2
145,T1,537,6,4,1
146,T1,537,6,4,2
147,T1,537,7,4,1
148,T1,537,7,4,2
149,T1,537,8,4,1
150,T1,537,8,4,2
151,T1,539,4,4,1
152,T1,539,4,4,2
153,T1,539,5,4,1
154,T1,539,5,4,2
155,T1,539,6,4,1
156,T1,539,6,4,2
157,T1,539,7,4,1
158,T1,539,7,4,2
159,T1,539,8,4,1
160,T1,539,8,4,2
161,T1,542,4,4,1
162,T1,542,4,4,2
163,T2,542,4,4,1
164,T2,542,4,4,2
165,T1,542,5,4,1
166,T1,542,5,4,2
167,T2,542,5,4,1
168,T2,542,5,4,2
169,T1,542,6,4,1
170,T1,542,6,4,2
171,T2,542,6,4,1
172,T2,542,6,4,2
173,T1,542,7,4,1
174,T1,542,7,4,2
175,T2,542,7,4,1
176,T2,542,7,4,2
177,T1,542,8,4,1
178,T1,542,8,4,2
179,T2,542,8,4,1
180,T2,542,8,4,2
181,T1,543,4,4,1
182,T1,543,4,4,2
183,T1,543,5,4,1
184,T1,543,5,4,2
185,T1,543,6,4,1
186,T1,543,6,4,2
187,T1,543,7,4,1
188,T1,543,7,4,2
189,T1,543,8,4,1
190,T1,543,8,4,2
191,T1,544,4,4,1
192,T1,544,4,4,2
193,T1,544,5,4,1
194,T1,544,5,4,2
195,T1,544,6,4,1
196,T1,544,6,4,2
197,T1,544,7,4,1
198,T1,544,7,4,2
199,T1,544,8,4,1
200,T1,544,8,4,2
201,T1,545,4,4,1
202,T1,545,4,4,2
203,T2,545,4,4,1
204,T2,545,4,4,2
205,T1,545,5,4,1
206,T1,545,5,4,2
207,T2,545,5,4,1
208,T2,545,5,4,2
209,T1,545,6,4,1
210,T1,545,6,4,2
211,T2,545,6,4,1
212,T2,545,6,4,2
213,T1,545,7,4,1
214,T1,545,7,4,2
215,T2,545,7,4,1
216,T2,545,7,4,2
217,T1,545,8,4,1
218,T1,545,8,4,2
219,T2,545,8,4,1
220,T2,545,8,4,2
221,T1,546,4,4,1
222,T1,546,4,4,2
223,T2,546,4,4,1
224,T2,546,4,4,2
225,T1,546,5,4,1
226,T1,546,5,4,2
227,T2,546,5,4,1
228,T2,546,5,4,2
229,T1,546,6,4,1
230,T1,546,6,4,2
231,T2,546,6,4,1
232,T2,546,6,4,2
233,T1,546,7,4,1
234,T1,546,7,4,2
235,T2,546,7,4,1
236,T2,546,7,4,2
237,T1,546,8,4,1
238,T1,546,8,4,2
239,T2,546,8,4,1
240,T2,546,8,4,2
